Vehicle Model,Battery Capacity (kWh),Charging Station Location,Charging Start Time,Charging Duration (hours),Charging Rate (kW),Energy Consumed (kWh),State of Charge (Start %),State of Charge (End %),Temperature (°C),Vehicle Age (years),Charger Type,User Type
Tesla Model 3,71.55747324283641,Los Angeles,2024-01-02 15:00:00,0.7001473496142199,40.90416436999743,30.29496721731025,32.1271217854,71.72631590829022,9.601434972307146,2,DC Fast Charger,Casual Driver
BMW i3,35.9661240816483,Houston,2024-01-20 02:00:00,3.8845527721188233,23.25796234384315,53.27890351464906,61.05714011753493,100.0,17.929012789658668,4,Level 2,Commuter
Nissan Leaf,30.80693611752152,New York,2024-01-13 20:00:00,0.8560818026360766,45.5464457986406,24.168517981244094,18.841070596102284,98.28259672418042,19.68634556866448,8,DC Fast Charger,Long-Distance Traveler
Tesla Model 3,64.16496856036485,Los Angeles,2024-01-26 10:00:00,3.454121828885742,17.806649820576954,46.376221592969834,30.387334543510473,100.0,13.12149394305672,6,Level 2,Long-Distance Traveler
Nissan Leaf,34.41662966644927,Los Angeles,2024-01-07 03:00:00,0.583057514929749,27.19554883758226,15.233359367934497,25.674975387828447,76.177542602345,11.11814932395738,3,Level 2,Long-Distance Traveler
Nissan Leaf,43.25461079020484,San Francisco,2024-03-04 00:00:00,4.243496286905283,,17.67250103971181,14.822162016210708,55.678350390718165,22.094006830524926,2,Level 1,Casual Driver
BMW i3,46.34773888058637,Chicago,2024-01-26 06:00:00,1.2861483360070158,13.47648686423094,13.047452595517454,23.831664678289812,52.54907298157232,8.200308342707224,3,Level 2,Commuter
Nissan Leaf,35.59100447766615,Los Angeles,2024-03-14 08:00:00,2.819738641896457,26.90862337104818,54.9890394556714,20.130198432389086,100.0,5.871194111928883,1,Level 2,Long-Distance Traveler
Nissan Leaf,30.0,Chicago,2024-01-22 18:00:00,1.6767180667742871,24.530173612310193,26.59384255992543,65.03358597998627,100.0,-0.3332299775002667,1,Level 2,Commuter
BMW i3,42.05472431701126,Houston,2024-01-08 03:00:00,3.751912409274808,24.641316290151863,66.43887672256925,53.170122295281736,100.0,25.764040338024987,2,Level 2,Long-Distance Traveler
Nissan Leaf,37.89228892170341,New York,2024-02-22 14:00:00,1.9460799508537456,19.147629880347157,33.27485626918403,25.54660281588358,100.0,24.09497573777572,3,Level 2,Long-Distance Traveler
Nissan Leaf,37.768687566499345,San Francisco,2024-03-03 05:00:00,3.7607413711474273,6.6253916404102196,13.382846314685697,54.617038460776136,85.60403438939265,16.103893961121987,9,Level 1,Commuter
Nissan Leaf,44.779687378821826,Chicago,2024-01-07 19:00:00,1.7819204307596443,12.136392359014415,15.783746042918652,6.439096947201641,38.221866470264814,31.93077530922382,8,Level 2,Commuter
Tesla Model 3,76.10922100378282,Los Angeles,2024-03-02 01:00:00,3.88612890921092,,69.65985294650775,39.2241062001241,100.0,8.014287712135374,9,Level 2,Commuter
Tesla Model 3,67.18896281183936,Chicago,2024-02-05 20:00:00,0.6377247335160691,17.005364943493422,4.078277252191515,21.27174664275375,24.762021131537225,24.570489287862696,7,Level 2,Casual Driver
Tesla Model 3,65.3486957283276,Los Angeles,2024-02-12 15:00:00,1.774901009182318,5.258741937812112,9.438420287009322,12.430934667553421,26.751062330220073,20.649960325225756,7,Level 1,Long-Distance Traveler
BMW i3,40.42433185809026,Chicago,2024-01-18 13:00:00,2.743850778981255,5.231717411280567,14.32501465348021,62.44430434200176,99.65733980634876,11.111835935926733,5,Level 1,Casual Driver
Chevy Bolt,54.56152342686215,Los Angeles,2024-03-01 08:00:00,0.7027681186387646,10.600802233807638,5.336854196893966,17.95713472706722,30.578345720245803,14.089490842441943,7,Level 1,Commuter
Nissan Leaf,39.638011879861914,Houston,2024-03-10 08:00:00,1.3371532761707539,18.656479676188564,20.94506226891044,58.45542104150835,100.0,13.166048239346686,4,Level 2,Long-Distance Traveler
Nissan Leaf,45.13071022200983,Los Angeles,2024-01-27 09:00:00,4.705416417385415,8.884520547087446,25.941852921076855,31.85947403696513,90.3992946105568,23.03304762873735,5,Level 1,Casual Driver
BMW i3,33.7213055304033,Los Angeles,2024-02-10 09:00:00,4.895754193310852,21.88003947558609,64.59465207418039,5.928900052645522,100.0,27.121146483866635,1,Level 2,Long-Distance Traveler
Nissan Leaf,40.43889717404484,New York,2024-01-28 17:00:00,3.8288747632571853,43.367122292516164,106.51979518578474,52.614633904566645,100.0,14.883274021824867,4,DC Fast Charger,Casual Driver
Tesla Model 3,82.32039986135511,Los Angeles,2024-01-31 05:00:00,1.6349002277761078,4.9791998934406045,17.236482967284385,43.76338428425892,67.80794926966482,11.45474571058833,3,Level 1,Commuter
Chevy Bolt,59.48287598509135,New York,2024-03-11 08:00:00,1.6723285044618605,18.855719562580042,20.01735711984196,27.371172405908258,54.593296961278966,,2,Level 2,Casual Driver
Hyundai Kona,69.05106626582358,San Francisco,2024-01-05 05:00:00,3.406056610077828,21.62769296612063,42.29429947104238,23.30048570520712,84.300202121338,0.17898598989854264,2,Level 2,Long-Distance Traveler
Nissan Leaf,38.563637539422686,New York,2024-01-31 14:00:00,1.029198274694158,54.8138968511054,36.99677119455653,9.789931404078256,100.0,20.412289597307257,8,DC Fast Charger,Long-Distance Traveler
Tesla Model 3,76.3666246353891,Houston,2024-02-26 16:00:00,4.76739221193665,19.64504160254792,65.04694178471601,66.1926636642927,100.0,,1,Level 2,Long-Distance Traveler
Hyundai Kona,67.08549452639524,New York,2024-03-11 06:00:00,1.5116580477958306,19.4579412910984,18.647368191443046,37.109017504985566,65.27504252320844,11.552440757444227,8,Level 2,Long-Distance Traveler
Chevy Bolt,56.56798537042119,San Francisco,2024-02-12 08:00:00,4.998360314414497,42.95075884078341,141.40143071652372,10.55909364244702,100.0,17.877738079100613,9,DC Fast Charger,Commuter
Hyundai Kona,77.93473212033,Houston,2024-02-15 12:00:00,2.730802078861072,16.029789292698887,31.82112847120976,61.46418165339058,100.0,32.29474099162935,6,Level 2,Casual Driver
Tesla Model 3,79.62064144265537,Chicago,2024-01-28 04:00:00,3.971434950468214,39.778471841981904,97.3697698176429,23.124156233158086,100.0,29.056080092901784,1,DC Fast Charger,Commuter
Hyundai Kona,73.12089849101845,Chicago,2024-01-19 10:00:00,0.5098284252750076,8.976057835879201,17.828617412906127,18.234176522752563,41.96333041055588,20.74206898069821,7,Level 1,Commuter
BMW i3,48.42614367816461,New York,2024-03-06 06:00:00,4.499358821382389,45.769287323033026,133.7626312272684,23.260933492244217,100.0,19.297657687238694,5,DC Fast Charger,Commuter
Hyundai Kona,66.29102488498388,New York,2024-01-07 14:00:00,1.715009201512612,19.79862050222117,20.97187512044283,41.69714480946224,77.24653205239139,5.173309095582038,9,Level 2,Long-Distance Traveler
Nissan Leaf,46.92894711179904,San Francisco,2024-03-21 07:00:00,3.5057153504662937,18.66693708509574,48.71071334894889,9.813671492307373,100.0,25.893833850773593,7,Level 2,Long-Distance Traveler
Nissan Leaf,40.93957355595958,San Francisco,2024-02-07 23:00:00,4.128598763571153,6.366287420144753,15.141436541814958,36.314199092973965,71.38837632694393,3.879499851063155,5,Level 1,Long-Distance Traveler
BMW i3,37.62134830095383,Los Angeles,2024-02-04 01:00:00,1.2386648325155092,23.855370871617172,23.58533791242142,63.223323933080316,100.0,-4.782218465454285,2,Level 2,Casual Driver
Tesla Model 3,,San Francisco,2024-03-19 13:00:00,2.4912926659815304,6.026238357660756,24.006471263921682,17.23115372999805,48.79521360509509,32.097236833399215,4,Level 1,Long-Distance Traveler
Nissan Leaf,34.969165437924346,Los Angeles,2024-02-29 16:00:00,2.722261732933655,51.445919099444566,81.31570710516657,26.52727018989585,100.0,24.643835580717333,2,DC Fast Charger,Casual Driver
Chevy Bolt,,Houston,2024-02-22 02:00:00,1.9045375940264204,61.345667915981124,71.78345557402588,30.74792772835743,100.0,30.556828340694366,9,DC Fast Charger,Long-Distance Traveler
Nissan Leaf,35.73728878470487,New York,2024-02-08 20:00:00,2.6679012337804164,5.360671967625588,8.704222096450398,43.10434624927094,67.478266917256,11.161884152784115,2,Level 1,Long-Distance Traveler
Nissan Leaf,40.364407664854376,Houston,2024-02-08 01:00:00,1.9289554594490212,46.48425384007833,58.82935794402974,64.75152602421025,100.0,25.596367594107186,2,DC Fast Charger,Commuter
Tesla Model 3,83.49539828390465,San Francisco,2024-01-05 00:00:00,2.1233648527484417,25.20530134705904,40.22498624432567,30.645048535757656,73.65475499754596,14.731185216405446,2,Level 2,Commuter
Hyundai Kona,58.01136556796552,Houston,2024-02-02 23:00:00,3.5119903041623255,,65.97257717109896,9.494934644054634,100.0,16.07308816445901,1,Level 2,Commuter
Nissan Leaf,45.05081226763578,Houston,2024-03-09 00:00:00,3.3466697073724867,15.788448610618994,27.581337647677977,27.616805993014506,90.14480650144083,31.685049490274814,9,Level 2,Casual Driver
BMW i3,34.73590208515874,Houston,2024-02-26 00:00:00,1.5451957660888636,3.5983919503043356,2.0,17.355551818989913,23.591541531951037,18.20250448158325,8,Level 1,Casual Driver
Hyundai Kona,57.563342737023845,San Francisco,2024-02-17 13:00:00,4.538672981579411,6.998787298255417,18.6773495227194,47.36534112324172,84.64943782589076,11.643370494886208,2,Level 1,Long-Distance Traveler
Chevy Bolt,68.6949396203787,Houston,2024-01-12 20:00:00,4.382548455521258,6.792246206056391,24.962277697143094,6.902037095876592,42.274305657844366,3.61377893466139,2,Level 1,Casual Driver
Tesla Model 3,75.38096815969996,Los Angeles,2024-02-17 15:00:00,2.7908748801047825,55.60135436932879,91.86957392155415,23.97544811974977,100.0,24.32827251032557,5,DC Fast Charger,Long-Distance Traveler
Chevy Bolt,58.95826832829214,San Francisco,2024-02-29 22:00:00,2.4496283421308767,8.095120693242027,12.502789451190184,40.436277970120294,68.14182657250683,32.713714009122114,4,Level 1,Casual Driver
Hyundai Kona,65.6469599293548,Houston,2024-03-27 22:00:00,2.1958519234284894,49.728294193005816,64.31830906832062,23.02672339322103,100.0,10.602459319399753,2,DC Fast Charger,Casual Driver
Hyundai Kona,55.55517724497368,San Francisco,2024-03-09 05:00:00,3.682705633998976,9.098429706733583,26.557323968574735,40.81469341744152,86.75874110790161,28.267747216510884,8,Level 1,Casual Driver
Hyundai Kona,61.68406309998324,Chicago,2024-02-26 12:00:00,3.522497257442617,18.5949117257367,49.09440237743859,12.456300942166909,93.12934238208022,8.68665621519828,8,Level 2,Commuter
Chevy Bolt,60.015966948759306,Los Angeles,2024-01-05 17:00:00,1.382812731220904,23.057903960383776,24.952167622042108,66.28235671932546,100.0,28.991627639551822,4,Level 2,Casual Driver
Hyundai Kona,72.61966655325602,Houston,2024-01-20 16:00:00,3.5215611408516256,40.27434216948544,180.79484411874583,23.908942476442636,100.0,20.394973575937478,4,DC Fast Charger,Commuter
Chevy Bolt,49.97749716419159,Chicago,2024-02-14 13:00:00,1.6359403734591798,,11.717340447856822,64.99505456034242,85.32064504448363,23.214034070758164,9,Level 1,Commuter
Hyundai Kona,76.3409322076304,Chicago,2024-01-31 11:00:00,0.583512514355865,14.694341807299843,9.83588266845084,26.179303567769452,43.94639244126358,11.631075820252676,4,Level 2,Casual Driver
BMW i3,41.252113570049744,San Francisco,2024-02-15 07:00:00,3.6464390489181966,16.420782265118497,35.69522612132592,55.819612426244205,100.0,24.290610361842198,9,Level 2,Long-Distance Traveler
Hyundai Kona,56.22610625723094,Chicago,2024-01-07 12:00:00,3.401571211073373,10.418903674979841,26.294288294034505,21.002178234981443,65.30933372122448,12.827753103984296,3,Level 1,Long-Distance Traveler
Chevy Bolt,,Los Angeles,2024-01-19 12:00:00,2.3486416806845365,3.350924864288859,4.475000735904997,48.534978655324075,54.89394057068398,15.035918094380705,2,Level 1,Long-Distance Traveler
Nissan Leaf,41.36574658502103,Los Angeles,2024-03-15 03:00:00,2.8655872516377774,20.9167415229262,33.63973146067032,26.041553898479865,100.0,1.7884682414258748,8,Level 2,Casual Driver
Hyundai Kona,54.569533639520316,New York,2024-02-28 23:00:00,4.762261362675918,26.13607561362334,73.45316714330639,38.09534339862782,100.0,10.734174069778401,3,Level 2,Long-Distance Traveler
Nissan Leaf,37.19938227453451,Los Angeles,2024-02-23 12:00:00,3.1784008140744695,33.10677790844714,64.93149435743109,48.797919474639244,100.0,,2,Level 2,Commuter
BMW i3,40.50058163473321,Chicago,2024-03-15 11:00:00,3.4604777090143917,22.88537520883024,48.63380655553492,43.27736283819244,100.0,23.753714151664866,8,Level 2,Long-Distance Traveler
Tesla Model 3,84.1494059152386,Los Angeles,2024-03-28 06:00:00,0.7876009442711349,23.17110063031346,30.629775749088967,42.458238563440126,81.49177818944233,27.147869306934496,8,Level 2,Casual Driver
BMW i3,48.11072075558384,San Francisco,2024-01-20 17:00:00,1.2469750730380635,22.198426908738746,21.17731495294275,9.269254317745123,49.50022980459342,12.704818682934901,5,Level 2,Long-Distance Traveler
Hyundai Kona,59.499053269167284,New York,2024-03-06 17:00:00,1.8542852438521469,,35.79368453463311,21.18999409115347,85.57093554029248,18.026665541252783,9,Level 2,Commuter
Nissan Leaf,38.93658414889539,Chicago,2024-02-02 10:00:00,2.9272069311266438,53.45362852190319,95.47014178334153,42.169553840675206,100.0,40.23662317353321,6,DC Fast Charger,Casual Driver
Nissan Leaf,32.02307549912127,New York,2024-02-13 11:00:00,3.9946590319249453,19.124561066035575,64.16508265950276,6.190618469022128,100.0,21.573302757018023,5,Level 2,Long-Distance Traveler
Chevy Bolt,47.76542692053768,Chicago,2024-01-08 13:00:00,1.9455839500486416,27.577558457143635,31.116724309034318,21.291876582538677,87.26400377167971,13.557290667153172,3,Level 2,Casual Driver
Nissan Leaf,33.854737762036905,San Francisco,2024-03-15 10:00:00,2.103720937154483,6.075618568304346,7.323789910523757,19.897040563027787,41.44471882411827,-0.15578512227150654,7,Level 1,Casual Driver
Chevy Bolt,66.73858416795485,New York,2024-01-01 06:00:00,1.6526789832818698,14.007519399580003,23.37797483333675,21.240647160454238,58.950064557910096,9.75292983956928,9,Level 2,Casual Driver
Tesla Model 3,81.24064577777168,Houston,2024-03-29 17:00:00,1.6457419818288765,3.8093509171288438,10.11199920407897,39.81461747183249,53.766753757650534,9.28556458307409,4,Level 1,Long-Distance Traveler
Hyundai Kona,66.6840538381763,Chicago,2024-02-03 15:00:00,4.769887306526584,20.994659267876585,59.90788323631068,42.82742301124751,100.0,43.734484644804546,7,Level 2,Casual Driver
Chevy Bolt,51.25425308027654,Houston,2024-03-03 03:00:00,3.359557308285005,22.515207828856944,49.08732116013012,64.08486963423273,100.0,9.818509732484111,3,Level 2,Long-Distance Traveler
Tesla Model 3,69.30672338087084,New York,2024-03-14 14:00:00,1.2015555959297608,57.645034184389914,50.145680433047914,30.092018186704248,100.0,20.612515140058953,2,DC Fast Charger,Commuter
Nissan Leaf,35.710894859106894,Houston,2024-01-12 22:00:00,3.7501186013791696,8.281632823562203,24.559469429222947,65.22762961430318,100.0,24.449090706546503,1,Level 1,Long-Distance Traveler
Nissan Leaf,39.17000814689719,Houston,2024-02-26 08:00:00,3.7490951451201306,22.39925472603172,57.7061988637589,47.377032423971066,100.0,,6,Level 2,Commuter
Tesla Model 3,73.16757154694308,New York,2024-02-23 13:00:00,3.499115882241673,27.05755245716176,73.12986520583819,64.32292573353612,100.0,20.096290902311207,5,Level 2,Long-Distance Traveler
Nissan Leaf,34.99021571652086,San Francisco,2024-01-22 06:00:00,1.1062420029079862,7.025475813261902,8.814000563572602,59.17568660920315,85.10171600841691,13.876225908791612,2,Level 1,Casual Driver
Tesla Model 3,77.79373446318834,Houston,2024-02-21 06:00:00,2.335961675613141,4.419027934440104,15.493532368534744,49.692858821499684,71.8235131198019,13.081561381041391,3,Level 1,Long-Distance Traveler
Chevy Bolt,61.37367828122543,Houston,2024-03-27 13:00:00,0.980403487224859,3.983095356044886,2.0,28.146883468732362,30.850330961293967,24.27655991215788,9,Level 1,Casual Driver
Chevy Bolt,55.62706140544232,San Francisco,2024-02-22 18:00:00,4.174792268414614,9.557375415211316,37.19487870709486,20.6721790995392,93.1127255273243,11.787926509522134,3,Level 1,Commuter
Tesla Model 3,77.43422713306025,Houston,2024-03-10 16:00:00,3.448274644300637,3.0,11.515436331232781,19.455443308282092,35.12165138509309,6.74982628713482,7,Level 1,Long-Distance Traveler
Chevy Bolt,66.74571220998313,Houston,2024-02-25 16:00:00,2.782417715455183,6.598518688581662,11.374313138870534,66.89129943465828,82.58138271009493,13.873948138035214,1,Level 1,Casual Driver
Chevy Bolt,68.56836466273947,Houston,2024-03-09 16:00:00,2.0435696442526847,12.963586987510048,19.238466260506097,67.30729980340828,97.1333878267687,4.10618790556812,7,Level 1,Commuter
Chevy Bolt,62.943972939659155,Los Angeles,2024-02-20 11:00:00,1.3291226352249503,24.296167221552494,28.575169154957617,52.11403927908008,97.25537993886104,42.20739901424718,9,Level 2,Commuter
BMW i3,,San Francisco,2024-01-22 17:00:00,0.9790141497489855,20.95728589760567,21.52821837559876,62.446738964971026,100.0,27.15863252085653,8,Level 2,Long-Distance Traveler
Hyundai Kona,62.31902760182982,Houston,2024-02-02 17:00:00,4.861582733916048,36.524307466774566,111.77497654744852,64.73475060013894,100.0,39.450126120974815,7,DC Fast Charger,Commuter
Nissan Leaf,45.1485644776758,San Francisco,2024-03-12 18:00:00,1.3984188888021039,30.08685284066608,32.25179934052019,38.251152773755294,100.0,25.825232440885863,8,Level 2,Casual Driver
BMW i3,35.57789129196128,Chicago,2024-03-05 16:00:00,0.7694358202462355,28.069139353472288,15.691784980772125,45.88887989063619,93.17908945028114,38.29511636051077,4,Level 2,Commuter
Chevy Bolt,65.48310086044899,Chicago,2024-01-30 16:00:00,4.827500474821234,55.47837529870718,168.30073152926838,32.219042364813944,100.0,24.40957596867099,2,DC Fast Charger,Commuter
Tesla Model 3,72.69916212655357,Houston,2024-02-21 08:00:00,2.970282836110222,21.99720133511593,46.03176922206188,32.201899678542105,95.15292744180184,28.71417585194403,9,Level 2,Casual Driver
Chevy Bolt,68.94562096321037,San Francisco,2024-03-10 07:00:00,4.0849553074601435,24.860061234706887,66.29197932779591,7.49787971189995,100.0,-5.604628318494182,3,Level 2,Commuter
Hyundai Kona,68.11744484928052,San Francisco,2024-01-01 01:00:00,0.6969463123924335,21.256894706980738,11.872576271187128,33.198394931512354,54.86704083201108,9.028044836285726,4,Level 2,Commuter
Chevy Bolt,59.592802613561396,San Francisco,2024-02-21 20:00:00,3.051256358658446,5.053478179031337,15.867690828131778,48.77683774835692,73.9598627409157,20.443133303071658,7,Level 1,Commuter
Tesla Model 3,73.10809880876582,Los Angeles,2024-02-18 23:00:00,2.291944838530978,,13.546874202012006,32.42884079692712,53.23546186881427,20.734253177478667,2,Level 1,Commuter
Hyundai Kona,67.67928998113906,Chicago,2024-02-05 20:00:00,3.973839954574476,21.746706717088948,57.83878124668338,61.70662899700217,100.0,19.083427775925973,8,Level 2,Casual Driver
Chevy Bolt,62.86274608611633,San Francisco,2024-03-14 08:00:00,0.6729154053757637,24.60971982329394,11.80738083334111,26.61659190645618,38.85902736189378,25.43594332508843,8,Level 2,Commuter
Hyundai Kona,61.211598968496304,San Francisco,2024-02-24 23:00:00,2.3076075585272644,6.757753518880468,9.357448152412893,13.624333026455217,29.049611063527,25.930435255159768,5,Level 1,Casual Driver
Nissan Leaf,40.459178791341735,Los Angeles,2024-03-20 08:00:00,4.095830387687882,53.69455505637475,132.37308037492699,57.75131489738886,100.0,30.381389805054077,9,DC Fast Charger,Commuter
Nissan Leaf,44.481950436743006,Los Angeles,2024-03-16 09:00:00,2.8521376908726648,21.92753634671125,40.55439875348293,48.80661469135848,100.0,28.02792225324966,8,Level 2,Commuter
Chevy Bolt,51.8198624527185,San Francisco,2024-03-16 11:00:00,2.9751743344937176,21.53725073955229,40.635529718484015,20.718266350837816,97.20721716460773,34.449048794929936,1,Level 2,Commuter
Hyundai Kona,69.081147543876,New York,2024-02-06 11:00:00,0.9372410688468448,50.23991676382016,36.105788548699614,39.869331642745145,90.52701943360782,34.54680340911773,9,DC Fast Charger,Commuter
Tesla Model 3,79.16971662687483,San Francisco,2024-03-28 05:00:00,1.0954875025404112,36.804348452315224,30.44466372805762,31.120402008596507,73.1785462159433,22.095973386504376,5,Level 2,Casual Driver
Chevy Bolt,67.11988485336894,San Francisco,2024-03-21 18:00:00,3.5464982241460365,56.4192558878555,131.40345909948257,66.02588546831775,100.0,44.97978546277167,9,DC Fast Charger,Casual Driver
Nissan Leaf,36.42173149348381,Los Angeles,2024-01-29 23:00:00,3.5377098003046394,34.930289584497615,77.72252711509778,44.476585909840885,100.0,36.311966419059374,9,Level 2,Casual Driver
Nissan Leaf,40.02858043046445,Los Angeles,2024-01-15 11:00:00,4.90596527413523,6.983795171983634,24.378333533065426,15.295301977154454,77.66895379289163,10.316589146413568,3,Level 1,Long-Distance Traveler
Chevy Bolt,61.23041025602937,San Francisco,2024-02-18 10:00:00,3.703788446294977,20.454710153177395,59.6949442996501,37.63964942140404,100.0,24.711239972687515,8,Level 2,Commuter
Hyundai Kona,69.17157562040165,San Francisco,2024-03-28 23:00:00,2.7195957317005126,16.62901470812262,28.985064612693755,61.0661941140503,100.0,-2.1114177029873815,7,Level 2,Commuter
Nissan Leaf,42.145584645805,San Francisco,2024-02-27 04:00:00,4.357975205900988,30.0161559831128,79.58425288848902,48.647283552110004,100.0,-0.09037938018818181,7,Level 2,Casual Driver
Hyundai Kona,55.323114308314075,Los Angeles,2024-01-16 22:00:00,0.9701284361717131,42.75852074280715,34.925886504180255,59.75938494641266,100.0,14.006068035970868,2,DC Fast Charger,Long-Distance Traveler
Nissan Leaf,41.45522016430823,San Francisco,2024-02-10 02:00:00,2.5218311940331453,31.04780378693345,45.15630390040118,21.275955401266618,100.0,9.494660856035047,2,Level 2,Commuter
Nissan Leaf,50.02114387135204,San Francisco,2024-02-22 23:00:00,1.791990999174064,16.91905834614851,28.473414238386134,62.74283950809022,100.0,14.07988459910893,2,Level 2,Casual Driver
BMW i3,45.67054545576789,Houston,2024-02-08 08:00:00,0.9708701311743151,57.09327894905942,36.01093712472706,54.11473656857118,100.0,23.941926348759004,2,DC Fast Charger,Commuter
Nissan Leaf,48.190234722683,New York,2024-02-03 23:00:00,3.9357593812416485,14.04496258263177,33.626635450428545,52.379394103475114,100.0,34.70348367019676,4,Level 2,Commuter
Tesla Model 3,83.3444910183585,Chicago,2024-01-26 03:00:00,2.7985641372449774,19.79022149204668,44.46032474978937,27.525169534629086,78.67397425048836,34.06102323767729,7,Level 2,Casual Driver
Chevy Bolt,68.17441161263045,New York,2024-01-05 04:00:00,3.005459239538708,50.17665223557059,94.56507925405171,62.69777414443433,100.0,24.958324843615664,2,DC Fast Charger,Casual Driver
Chevy Bolt,61.85981196590823,Houston,2024-01-08 21:00:00,2.3506483455964804,5.805017968593026,21.36808812361971,46.46865953055907,84.17250794995603,6.954566971254538,5,Level 1,Commuter
Hyundai Kona,67.65291576728482,Chicago,2024-02-11 18:00:00,2.5715175422123084,21.1533669908302,37.76828290988794,60.36956599608216,100.0,13.311342544402883,7,Level 2,Commuter
Nissan Leaf,41.27758878320687,San Francisco,2024-03-22 02:00:00,1.0220782420535142,48.68363915536911,34.08348836336053,28.463144639107664,100.0,27.646199904886544,9,DC Fast Charger,Casual Driver
Tesla Model 3,75.03472692039618,Houston,2024-01-13 10:00:00,3.528130209291394,26.03466775015032,57.18811977258455,14.467385919183172,93.1064513808397,10.08660198151583,8,Level 2,Commuter
Hyundai Kona,69.19536486048374,San Francisco,2024-03-18 17:00:00,2.446013118223462,11.566241055066293,20.632456773632907,26.60191671432095,56.49966108712809,4.79699914923374,9,Level 2,Commuter
BMW i3,38.87398836595679,Los Angeles,2024-03-11 17:00:00,4.175454079083124,19.18540135985968,50.32926795799367,34.592182579386865,100.0,25.907805507249883,7,Level 2,Casual Driver
Hyundai Kona,77.19767621210244,Houston,2024-02-03 04:00:00,1.3832924006438425,28.27318173885478,35.72580126274061,39.67147938445701,93.31439110410702,,3,Level 2,Commuter
Hyundai Kona,57.50390922618208,Los Angeles,2024-03-06 12:00:00,1.422747920384761,54.499839386532756,52.29541584901487,38.20259902124994,100.0,17.46897152231453,1,DC Fast Charger,Commuter
Nissan Leaf,44.05694059958579,Houston,2024-03-25 08:00:00,3.405918071888095,9.542572524254027,27.33778346189251,40.49354850837668,100.0,33.31762322782819,7,Level 1,Long-Distance Traveler
BMW i3,50.27202850382153,Houston,2024-03-09 04:00:00,4.307015405288286,8.51757870954537,27.173297164390814,59.71087473949159,100.0,33.06569700380432,6,Level 1,Casual Driver
Hyundai Kona,62.76364772227718,Los Angeles,2024-02-11 15:00:00,2.624890273781789,4.832969785980378,11.391338548528278,16.05658100223104,36.236201016752204,41.373415888871634,2,Level 1,Long-Distance Traveler
Tesla Model 3,66.0961815108947,Chicago,2024-01-26 04:00:00,3.7712924092989497,25.304485855597882,63.68824769268684,25.543334185976608,100.0,12.183058519923048,1,Level 2,Long-Distance Traveler
Tesla Model 3,84.24423671425883,New York,2024-01-01 22:00:00,4.996984646718885,22.500964000463814,81.72841125803762,62.75955187830434,100.0,25.156802970681053,4,Level 2,Long-Distance Traveler
Chevy Bolt,61.22037186030153,San Francisco,2024-01-19 04:00:00,4.956195378780176,68.14449065434393,202.08510851499494,41.42978329629147,100.0,20.228101646688216,4,DC Fast Charger,Commuter
BMW i3,46.87989643561046,Houston,2024-03-13 13:00:00,3.8495157926976504,26.010822912472047,66.19063358444673,42.92034157402219,100.0,24.05978998094418,6,Level 2,Commuter
BMW i3,41.3432724069761,San Francisco,2024-02-07 08:00:00,3.82813920355212,24.616837038388002,66.8248820047391,36.0740653999069,100.0,6.387425890581113,5,Level 2,Long-Distance Traveler
Chevy Bolt,70.39154809393438,Los Angeles,2024-01-31 00:00:00,1.6142849923950755,8.338848526682622,8.384911820309668,40.68335127409904,59.15558694232392,3.170319986777457,9,Level 1,Long-Distance Traveler
Hyundai Kona,49.18094363455556,San Francisco,2024-03-29 09:00:00,4.250928341946982,24.34422770833312,70.62812407947128,17.87518248640658,100.0,19.51740636525438,8,Level 2,Long-Distance Traveler
BMW i3,,Los Angeles,2024-03-20 06:00:00,2.3229595717120426,24.209005638730364,41.507695359435296,40.54634846217834,100.0,9.889848920310861,9,Level 2,Commuter
Tesla Model 3,85.73399587001278,San Francisco,2024-01-09 13:00:00,4.828972594400702,6.467413261206163,18.974137851727882,69.81625331422259,95.46555449933105,31.25849144661545,7,Level 1,Long-Distance Traveler
Tesla Model 3,75.84271235863517,New York,2024-02-12 12:00:00,0.8664245991812098,8.070945774040002,14.398058240822895,41.79309224007198,61.54196016996788,1.9918715916968068,9,Level 1,Long-Distance Traveler
Nissan Leaf,41.51179346508456,New York,2024-01-21 17:00:00,2.461281659927267,8.896933360545392,12.807912418688206,7.886160264391972,44.41975753816304,2.9815893530446402,3,Level 1,Casual Driver
BMW i3,39.39592912459795,New York,2024-03-18 21:00:00,3.0012821945757437,9.12065613806417,21.332205434057368,56.76831688279288,100.0,15.000050297013722,9,Level 1,Casual Driver
Hyundai Kona,64.14481955506632,New York,2024-01-23 18:00:00,2.323202931887742,,46.25810562998666,30.770902867020194,100.0,1.54309992880507,2,Level 2,Commuter
Chevy Bolt,49.96886032118217,New York,2024-03-20 07:00:00,1.447606357272245,10.016127292304144,19.703785169368558,14.988949652601521,55.703212381159304,40.11203758516794,9,Level 1,Casual Driver
Chevy Bolt,55.68941200428185,New York,2024-02-24 03:00:00,3.1684481995212943,27.614460616519622,49.04935953528951,61.06378740473494,100.0,17.804991512764495,6,Level 2,Casual Driver
Hyundai Kona,58.4927141102844,Los Angeles,2024-03-16 12:00:00,3.901630615813119,55.028143312806165,141.9105881473793,17.868261609772894,100.0,12.766391535631682,4,DC Fast Charger,Casual Driver
